location_id,location_name,iso3,age_group,age_label,measure_short,rate,expected_rate,excess_rate,high_observed,high_excess,profile
211,Mali,MLI,70p,70+ years,DALYs,5346.961647959475,11637.356187139256,-6290.394539179781,False,False,neither
212,Mauritania,MRT,70p,70+ years,DALYs,10124.077359801702,5007.363932427156,5116.713427374546,True,True,double-high
213,Niger,NER,70p,70+ years,DALYs,13106.680144345584,13190.56255464427,-83.8824102986855,True,False,benchmark-aligned high burden
214,Nigeria,NGA,70p,70+ years,DALYs,5225.926549901186,5124.774871200688,101.15167870049844,False,False,neither
215,Sao Tome and Principe,STP,70p,70+ years,DALYs,12002.60963998505,4920.393522917036,7082.216117068015,True,True,double-high
216,Senegal,SEN,70p,70+ years,DALYs,7210.3184763926865,7605.333533897849,-395.0150575051621,True,False,benchmark-aligned high burden
217,Sierra Leone,SLE,70p,70+ years,DALYs,14435.130389991727,8519.326098233098,5915.80429175863,True,True,double-high
218,Togo,TGO,70p,70+ years,DALYs,10024.873707345618,6282.668446707441,3742.2052606381767,True,True,double-high
298,American Samoa,ASM,70p,70+ years,DALYs,3327.3978868678028,2916.2737081712303,411.12417869657247,False,False,neither
305,Bermuda,BMU,70p,70+ years,DALYs,2026.390878542768,2757.070974281645,-730.6800957388773,False,False,neither
320,Cook Islands,COK,70p,70+ years,DALYs,3770.763041061549,2832.8062150000887,937.95682606146,False,False,neither
349,Greenland,GRL,70p,70+ years,DALYs,4773.095330421632,2726.1325043610327,2046.9628260605991,False,True,excess-only
351,Guam,GUM,70p,70+ years,DALYs,1619.7126928015396,2775.666156221844,-1155.9534634203042,False,False,neither
367,Monaco,MCO,70p,70+ years,DALYs,2659.259739555973,2688.003743288931,-28.74400373295839,False,False,neither
369,Nauru,NRU,70p,70+ years,DALYs,4523.14475836482,3535.905832694128,987.2389256706916,False,False,neither
374,Niue,NIU,70p,70+ years,DALYs,3416.9305624645685,2900.907456126994,516.0231063375745,False,False,neither
376,Northern Mariana Islands,MNP,70p,70+ years,DALYs,3838.1985189550687,2807.35437153314,1030.844147421929,False,False,neither
380,Palau,PLW,70p,70+ years,DALYs,2835.928078984496,2881.4093124861583,-45.481233501662246,False,False,neither
385,Puerto Rico,PRI,70p,70+ years,DALYs,2136.1806597366235,2736.5171536928497,-600.3364939562261,False,False,neither
393,Saint Kitts and Nevis,KNA,70p,70+ years,DALYs,4865.764216725076,2885.0640586118384,1980.7001581132376,False,True,excess-only
396,San Marino,SMR,70p,70+ years,DALYs,1307.1330470433388,2710.3930820424816,-1403.2600349991428,False,False,neither
416,Tuvalu,TUV,70p,70+ years,DALYs,4652.696102015788,3675.140067399372,977.556034616416,False,False,neither
422,United States Virgin Islands,VIR,70p,70+ years,DALYs,1442.5558022574648,2769.6905671450445,-1327.1347648875796,False,False,neither
435,South Sudan,SSD,70p,70+ years,DALYs,11639.140282014756,8652.059696634922,2987.080585379834,True,True,double-high
522,Sudan,SDN,70p,70+ years,DALYs,2825.6459190638466,4116.38956734232,-1290.7436482784738,False,False,neither
6,China,CHN,70p,70+ years,Deaths,97.64903887887104,225.244341724682,-127.59530284581088,False,False,neither
7,Democratic People's Republic of Korea,PRK,70p,70+ years,Deaths,224.21060455661083,295.0959428413256,-70.88533828471478,False,False,neither
8,Taiwan,TWN,70p,70+ years,Deaths,542.3540236867328,240.990962594548,301.3630610921848,True,True,double-high
10,Cambodia,KHM,70p,70+ years,Deaths,599.3451922728599,382.8874587068248,216.4577335660352,True,True,double-high
11,Indonesia,IDN,70p,70+ years,Deaths,180.9927004391337,241.11707504088128,-60.124374601747576,False,False,neither
12,Lao People's Democratic Republic,LAO,70p,70+ years,Deaths,1516.9804129315007,362.4628630781355,1154.5175498533652,True,True,double-high
13,Malaysia,MYS,70p,70+ years,Deaths,855.1923467842821,222.109050188778,633.0832965955041,True,True,double-high
14,Maldives,MDV,70p,70+ years,Deaths,458.05059763540095,243.0065461229136,215.04405151248736,True,True,double-high
15,Myanmar,MMR,70p,70+ years,Deaths,364.1516579170194,341.32548007894184,22.82617783807757,False,False,neither
16,Philippines,PHL,70p,70+ years,Deaths,764.2188783956616,239.7480241806086,524.470854215053,True,True,double-high
17,Sri Lanka,LKA,70p,70+ years,Deaths,221.6866548027943,224.8092578574252,-3.1226030546309005,False,False,neither
18,Thailand,THA,70p,70+ years,Deaths,509.8223392300659,233.94177061377647,275.88056861628945,True,True,double-high
19,Timor-Leste,TLS,70p,70+ years,Deaths,647.7726809004088,405.4952606935345,242.27742020687424,True,True,double-high
20,Viet Nam,VNM,70p,70+ years,Deaths,230.19735231774524,250.9014082800968,-20.70405596235153,False,False,neither
22,Fiji,FJI,70p,70+ years,Deaths,189.4173686376764,234.1665371055875,-44.74916846791112,False,False,neither
23,Kiribati,KIR,70p,70+ years,Deaths,131.90284244394627,329.121532313532,-197.2186898695857,False,False,neither
24,Marshall Islands,MHL,70p,70+ years,Deaths,273.11944512456944,272.86060746827235,0.2588376562970893,False,False,neither
25,Micronesia (Federated States of),FSM,70p,70+ years,Deaths,213.0120743491444,279.06317975005794,-66.05110540091357,False,False,neither
26,Papua New Guinea,PNG,70p,70+ years,Deaths,313.6584030127152,486.19344806620506,-172.53504505348985,False,False,neither
27,Samoa,WSM,70p,70+ years,Deaths,420.3552355513979,273.53432600064434,146.82090955075358,True,True,double-high
28,Solomon Islands,SLB,70p,70+ years,Deaths,979.2047759829444,448.3084443703349,530.8963316126094,True,True,double-high
29,Tonga,TON,70p,70+ years,Deaths,344.9330208570132,254.4329581471024,90.50006270991088,False,False,neither
30,Vanuatu,VUT,70p,70+ years,Deaths,405.0363236216157,417.8779178118473,-12.841594190231604,False,False,neither
33,Armenia,ARM,70p,70+ years,Deaths,335.81512153283137,226.89214471434389,108.92297681848748,False,False,neither
34,Azerbaijan,AZE,70p,70+ years,Deaths,90.0349100448045,229.3046225821736,-139.26971253736912,False,False,neither
35,Georgia,GEO,70p,70+ years,Deaths,360.1650951727063,222.57328552795468,137.5918096447516,False,True,excess-only
36,Kazakhstan,KAZ,70p,70+ years,Deaths,209.79336134113944,225.2966184125844,-15.50325707144495,False,False,neither
37,Kyrgyzstan,KGZ,70p,70+ years,Deaths,48.240392650601216,260.3778461239582,-212.13745347335697,False,False,neither
38,Mongolia,MNG,70p,70+ years,Deaths,81.95336598007471,243.4870650005895,-161.5336990205148,False,False,neither
39,Tajikistan,TJK,70p,70+ years,Deaths,139.82390661965135,319.9668007786008,-180.14289415894947,False,False,neither
40,Turkmenistan,TKM,70p,70+ years,Deaths,62.984338398858526,235.4494059760376,-172.46506757717907,False,False,neither
41,Uzbekistan,UZB,70p,70+ years,Deaths,71.78687155635275,256.5020433471146,-184.7151717907618,False,False,neither
